county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
Burke,Georgia,33580,34394,35524,75,2.4,3.3,121
Butts,Georgia,31207,32818,34297,98,5.2,4.5,45
Camden,Georgia,33737,34832,36113,69,3.2,3.7,103
Candler,Georgia,27914,30023,31385,127,7.6,4.5,44
Catoosa,Georgia,33115,34048,35158,84,2.8,3.3,125
Charlton,Georgia,23420,24489,24976,155,4.6,2,152
Chatham,Georgia,43299,45061,47563,13,4.1,5.6,16
Chattahoochee,Georgia,30210,30926,31115,129,2.4,0.6,157
Chattooga,Georgia,28538,29836,30946,131,4.5,3.7,96
Clayton,Georgia,26702,27058,28020,148,1.3,3.6,108
Clinch,Georgia,35716,36580,37548,54,2.4,2.6,142
Cobb,Georgia,51457,54559,57162,5,6,4.8,33
Colquitt,Georgia,30034,31859,32526,118,6.1,2.1,151
Cook,Georgia,29733,31086,32524,119,4.6,4.6,38
Coweta,Georgia,43253,44612,46438,16,3.1,4.1,64
Crisp,Georgia,29495,31206,32540,117,5.8,4.3,56
Dade,Georgia,32265,33720,35640,74,4.5,5.7,12
Dawson,Georgia,42386,43455,45201,18,2.5,4,73
Decatur,Georgia,33932,35252,36150,68,3.9,2.5,145
Dodge,Georgia,28389,29702,30682,134,4.6,3.3,120
Dooly,Georgia,26161,27631,28297,147,5.6,2.4,146
Dougherty,Georgia,33743,34354,34744,93,1.8,1.1,154
Early,Georgia,37001,37889,38945,39,2.4,2.8,137
Echols,Georgia,25611,27281,27880,149,6.5,2.2,148
Effingham,Georgia,38513,40037,41942,25,4,4.8,35
Emanuel,Georgia,30104,32066,32187,122,6.5,0.4,158
Evans,Georgia,33186,33877,35212,82,2.1,3.9,81
Fannin,Georgia,32567,34431,35727,73,5.7,3.8,92
Floyd,Georgia,36054,37003,38524,44,2.6,4.1,62
Forsyth,Georgia,59451,60227,62580,4,1.3,3.9,84
Gilmer,Georgia,32724,34102,35419,78,4.2,3.9,87
Glascock,Georgia,33238,32814,33931,101,-1.3,3.4,115
Glynn,Georgia,41914,43642,46073,17,4.1,5.6,15
Gordon,Georgia,32428,35514,36947,60,9.5,4,68
Grady,Georgia,31138,33524,34899,90,7.7,4.1,63
Gwinnett,Georgia,38629,39738,41458,28,2.9,4.3,54
Habersham,Georgia,31893,32780,33925,103,2.8,3.5,112
Hall,Georgia,39946,41856,43701,22,4.8,4.4,51
Hancock,Georgia,27046,28261,29917,141,4.5,5.9,9
Haralson,Georgia,33941,35121,36508,65,3.5,3.9,79
Harris,Georgia,44439,45538,47469,14,2.5,4.2,57
Hart,Georgia,34264,36219,38125,47,5.7,5.3,22
Irwin,Georgia,28698,30745,32824,115,7.1,6.8,5
Jasper,Georgia,35403,39111,40606,31,10.5,3.8,89
Jeff Davis,Georgia,28567,28671,29943,140,0.4,4.4,50
Jenkins,Georgia,28179,28005,29250,145,-0.6,4.4,49
Jones,Georgia,34947,36159,37618,53,3.5,4,69
Lanier,Georgia,25133,26281,27561,150,4.6,4.9,28
Laurens,Georgia,34652,35528,37372,57,2.5,5.2,24
Long,Georgia,26099,26268,27071,152,0.6,3.1,129
Lumpkin,Georgia,34628,35288,37427,56,1.9,6.1,7
McDuffie,Georgia,34013,35656,36982,59,4.8,3.7,97
McIntosh,Georgia,28014,28377,29519,142,1.3,4,70
Meriwether,Georgia,32739,33285,34847,91,1.7,4.7,36
Mitchell,Georgia,32307,33964,35069,86,5.1,3.3,126
Murray,Georgia,28105,28986,29968,139,3.1,3.4,116
Muscogee,Georgia,40718,42083,44149,21,3.4,4.9,27
Oconee,Georgia,60296,64194,66740,2,6.5,4,77
Oglethorpe,Georgia,35391,36456,37709,52,3,3.4,114
Paulding,Georgia,35196,36276,37727,51,3.1,4,74
Peach,Georgia,35668,37173,38066,48,4.2,2.4,147
Pierce,Georgia,33494,34908,36065,70,4.2,3.3,119
Quitman,Georgia,27893,28699,30902,133,2.9,7.7,2
Rabun,Georgia,38505,39632,41128,29,2.9,3.8,91
Richmond,Georgia,35032,36820,38196,46,5.1,3.7,95
Rockdale,Georgia,33440,33842,35244,80,1.2,4.1,60
Schley,Georgia,28610,29949,30931,132,4.7,3.3,122
Screven,Georgia,31699,33079,35010,87,4.4,5.8,10
Spalding,Georgia,32904,33422,34772,92,1.6,4,67
Stephens,Georgia,36908,37831,38915,40,2.5,2.9,135
Stewart,Georgia,21153,21665,22771,157,2.4,5.1,25
Talbot,Georgia,32396,33643,34504,95,3.8,2.6,144
Taliaferro,Georgia,32218,32719,33927,102,1.6,3.7,101
Tattnall,Georgia,26339,27812,28406,146,5.6,2.1,149
Telfair,Georgia,19869,20338,20923,158,2.4,2.9,134
Terrell,Georgia,37009,38110,40325,33,3,5.8,11
Thomas,Georgia,40280,42097,44355,20,4.5,5.4,20
Tift,Georgia,35361,36148,37805,50,2.2,4.6,41
Toombs,Georgia,33720,33992,35517,76,0.8,4.5,47
Towns,Georgia,34874,35901,37858,49,2.9,5.5,19
Treutlen,Georgia,28097,29216,30119,138,4,3.1,128
Troup,Georgia,34884,34951,36476,66,0.2,4.4,52
Turner,Georgia,31706,33212,34396,96,4.7,3.6,107
Twiggs,Georgia,35817,37784,39530,36,5.5,4.6,39
Upson,Georgia,33478,33922,35133,85,1.3,3.6,106
Ware,Georgia,31917,32763,33906,104,2.7,3.5,113
Warren,Georgia,32297,33231,34598,94,2.9,4.1,61
Wayne,Georgia,28970,30164,31954,123,4.1,5.9,8
Webster,Georgia,30591,32211,33109,111,5.3,2.8,136
Wheeler,Georgia,18257,19010,19631,159,4.1,3.3,124
Whitfield,Georgia,36201,37278,38752,41,3,4,78
Wilkes,Georgia,37483,38339,39472,37,2.3,3,133
