county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
Cabell,West Virginia,38581,40154,42939,8,4.1,6.9,9
Doddridge,West Virginia,25015,26739,28862,54,6.9,7.9,3
Greenbrier,West Virginia,34931,36291,38098,22,3.9,5,35
Hardy,West Virginia,31498,33805,34150,36,7.3,1,54
Kanawha,West Virginia,43984,45416,48435,3,3.3,6.6,14
Mingo,West Virginia,28537,30457,32051,45,6.7,5.2,31
Monongalia,West Virginia,40762,42782,44679,6,5,4.4,38
Pleasants,West Virginia,39304,41357,43883,7,5.2,6.1,21
Preston,West Virginia,33115,34296,35686,30,3.6,4.1,42
Raleigh,West Virginia,35743,38646,41115,15,8.1,6.4,18
Ritchie,West Virginia,32830,34962,37177,25,6.5,6.3,19
Summers,West Virginia,30173,31876,32879,42,5.6,3.1,50
Tucker,West Virginia,38318,40081,41322,13,4.6,3.1,51
Wetzel,West Virginia,30349,33106,36791,26,9.1,11.1,2
Wirt,West Virginia,29496,30138,32156,44,2.2,6.7,13
Wisconsin,Wisconsin,47550,49290,51592,--,3.7,4.7,--
Bayfield,Wisconsin,43593,45766,48542,22,5,6.1,2
Burnett,Wisconsin,39805,41293,42706,58,3.7,3.4,61
Calumet,Wisconsin,46802,49038,50776,16,4.8,3.5,58
Dane,Wisconsin,56423,58522,61304,4,3.7,4.8,25
Door,Wisconsin,58122,60281,63178,3,3.7,4.8,22
Eau Claire,Wisconsin,43766,45852,48240,24,4.8,5.2,9
Fond du Lac,Wisconsin,44346,46203,48126,25,4.2,4.2,46
Green Lake,Wisconsin,43444,43894,46152,39,1,5.1,11
Juneau,Wisconsin,35127,36478,37898,71,3.8,3.9,51
Kenosha,Wisconsin,43232,44674,46874,32,3.3,4.9,16
Kewaunee,Wisconsin,43776,45165,46197,37,3.2,2.3,70
Langlade,Wisconsin,40565,42067,43223,55,3.7,2.7,66
Manitowoc,Wisconsin,44631,46174,47675,29,3.5,3.3,62
Marathon,Wisconsin,46431,47965,50111,17,3.3,4.5,34
Marinette,Wisconsin,40896,42214,44014,52,3.2,4.3,41
Milwaukee,Wisconsin,43729,45338,47589,30,3.7,5,15
Oconto,Wisconsin,43130,44284,45609,45,2.7,3,64
Outagamie,Wisconsin,47980,49360,51230,13,2.9,3.8,54
Ozaukee,Wisconsin,77323,79764,83992,1,3.2,5.3,7
Pepin,Wisconsin,44656,46734,47961,28,4.7,2.6,67
Price,Wisconsin,43090,44184,45320,46,2.5,2.6,68
Racine,Wisconsin,45153,47419,49749,20,5,4.9,18
St. Croix,Wisconsin,51350,53225,55543,6,3.7,4.4,37
Sauk,Wisconsin,44594,46414,48365,23,4.1,4.2,44
Sawyer,Wisconsin,42378,43696,45915,41,3.1,5.1,12
Shawano,Wisconsin,39152,40847,42290,59,4.3,3.5,59
Sheboygan,Wisconsin,47936,50722,52851,9,5.8,4.2,45
Trempealeau,Wisconsin,41219,42695,44698,49,3.6,4.7,28
Vilas,Wisconsin,49950,51640,53983,8,3.4,4.5,31
Washburn,Wisconsin,43753,45460,47218,31,3.9,3.9,53
Waukesha,Wisconsin,67478,69085,72650,2,2.4,5.2,10
Waupaca,Wisconsin,42894,43732,45629,44,2,4.3,38
Waushara,Wisconsin,38044,39273,41204,63,3.2,4.9,17
Goshen,Wyoming,40276,41256,43348,19,2.4,5.1,17
Hot Springs,Wyoming,52311,49984,55232,5,-4.4,10.5,3
Laramie,Wyoming,48345,49746,52039,10,2.9,4.6,18
Natrona,Wyoming,63999,62751,69379,2,-2,10.6,1
Niobrara,Wyoming,42804,46768,51357,12,9.3,9.8,5
Sublette,Wyoming,46524,49372,51361,11,6.1,4,20
Sweetwater,Wyoming,47291,50354,53145,8,6.5,5.5,15
Uinta,Wyoming,37634,38154,40280,22,1.4,5.6,14
Washakie,Wyoming,43737,44930,48184,15,2.7,7.2,8
Weston,Wyoming,42585,42816,44737,17,0.5,4.5,19
Arkansas,,43755,43723,45290,4,-0.1,3.6,45
Calhoun,,32632,32803,34426,43,0.5,4.9,13
Clay,,30994,33558,34149,46,8.3,1.8,71
Cleburne,,35135,36764,38307,13,4.6,4.2,24
Dallas,,31946,33118,34645,41,3.7,4.6,16
Franklin,,31816,33010,34275,44,3.8,3.8,39
Greene,,32299,33696,34895,38,4.3,3.6,47
Jackson,,33639,34236,35880,30,1.8,4.8,15
Jefferson,,33278,34006,35356,33,2.2,4,34
Lawrence,,31810,33446,35126,36,5.1,5,10
Lee,,26052,26474,27619,74,1.6,4.3,19
Madison,,33506,36069,35496,31,7.6,-1.6,75
Marion,,28851,29517,30743,66,2.3,4.2,28
Monroe,,31451,32110,32651,54,2.1,1.7,72
Montgomery,,27818,29778,30834,64,7,3.5,50
Perry,,32600,33933,34877,39,4.1,2.8,64
Pike,,30388,31759,33113,52,4.5,4.3,21
Randolph,,30281,32251,33486,49,6.5,3.8,40
Washington,,37737,39283,40247,8,4.1,2.5,67
,,,,,,,,
Nevada,,58146,58771,61799,16,1.1,5.2,24
Santa Cruz,,61166,64901,69355,9,6.1,6.9,13
,,,,,,,,
Jackson,,43972,45186,49723,24,2.8,10,2
Jefferson,,57885,60206,63536,11,4,5.5,31
Lake,,33337,34801,37106,56,4.4,6.6,14
Lincoln,,25263,26641,28828,62,5.5,8.2,3
Logan,,49807,47303,48161,28,-5,1.8,55
Morgan,,41814,42986,45685,35,2.8,6.3,21
Phillips,,44075,42654,44399,39,-3.2,4.1,51
Washington,,40130,38071,44687,38,-5.1,17.4,1
Yuma,,52258,50062,50364,21,-4.2,0.6,58
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Calhoun,,25059,25901,26873,61,3.4,3.8,42
Clay,,40743,41374,42909,27,1.5,3.7,45
Columbia,,32408,33658,35074,44,3.9,4.2,28
Escambia,,39521,40825,42537,28,3.3,4.2,29
Franklin,,32661,33999,35988,39,4.1,5.9,6
Jackson,,29607,30763,32106,51,3.9,4.4,25
Jefferson,,38742,39715,40736,32,2.5,2.6,56
Lafayette,,22596,24232,24148,64,7.2,-0.3,65
Lake,,39385,40613,42190,30,3.1,3.9,36
Lee,,47574,48872,51266,11,2.7,4.9,15
Madison,,29330,30499,31675,53,4,3.9,38
Marion,,34506,35719,36997,37,3.5,3.6,49
Monroe,,78241,84679,92119,2,8.2,8.8,1
Orange,,40750,42776,44647,22,5,4.4,24
Polk,,33333,34591,35463,41,3.8,2.5,57
Sumter,,42126,44097,46100,20,4.7,4.5,22
Union,,19815,20756,22227,67,4.7,7.1,2
Washington,,27636,28309,29414,58,2.4,3.9,35
,,,,,,,,
Baker,,36061,35725,38666,42,-0.9,8.2,1
Baldwin,,30637,31950,33203,110,4.3,3.9,82
Bibb,,38687,39928,41709,27,3.2,4.5,48
Calhoun,,22951,24763,24638,156,7.9,-0.5,159
Carroll,,35682,36814,38571,43,3.2,4.8,32
Cherokee,,47813,49084,51137,8,2.7,4.2,58
Clarke,,31736,32419,33970,100,2.2,4.8,31
Clay,,29216,29492,31520,125,0.9,6.9,3
Coffee,,29215,30988,32644,116,6.1,5.3,21
Columbia,,46821,47688,49473,11,1.9,3.7,94
Crawford,,31990,33208,33784,105,3.8,1.7,153
DeKalb,,45522,48557,50871,9,6.7,4.8,34
Douglas,,33168,33855,35230,81,2.1,4.1,65
Elbert,,33031,34508,35448,77,4.5,2.7,138
Fayette,,58295,60677,63515,3,4.1,4.7,37
Franklin,,34213,35508,36672,62,3.8,3.3,123
Fulton,,75987,80683,84386,1,6.2,4.6,40
Greene,,50359,53496,55396,6,6.2,3.6,109
Henry,,36748,37619,39184,38,2.4,4.2,59
Houston,,39991,41105,42625,23,2.8,3.7,100
Jackson,,39379,40832,42211,24,3.7,3.4,117
Jefferson,,31409,32925,34034,99,4.8,3.4,118
Johnson,,24388,24822,26195,154,1.8,5.5,17
Lamar,,31106,32395,33079,113,4.1,2.1,150
Lee,,43544,45415,47258,15,4.3,4.1,66
Liberty,,33183,34163,35805,72,3,4.8,30
Lincoln,,34481,35936,37333,58,4.2,3.9,86
Lowndes,,34869,35817,37443,55,2.7,4.5,43
,,,,,,,,
Madison,,33761,35261,36557,64,4.4,3.7,104
Marion,,26862,28317,29333,144,5.4,3.6,105
Miller,,36026,38229,40826,30,6.1,6.8,4
Monroe,,41767,43106,44790,19,3.2,3.9,85
Montgomery,,28834,28562,29408,143,-0.9,3,132
Morgan,,45564,48982,50541,10,7.5,3.2,127
Newton,,31601,32456,33750,106,2.7,4,75
Pickens,,44457,45890,47887,12,3.2,4.4,53
Pike,,37636,38423,39851,35,2.1,3.7,98
Polk,,30779,31150,32368,121,1.2,3.9,83
Pulaski,,28017,29034,30358,136,3.6,4.6,42
Putnam,,38731,40236,41839,26,3.9,4,76
Randolph,,28739,31453,33238,109,9.4,5.7,13
Seminole,,38009,39963,40217,34,5.1,0.6,156
Sumter,,32738,34522,35847,71,5.4,3.8,88
Taylor,,31322,29253,30141,137,-6.6,3,130
Union,,34304,35166,36581,63,2.5,4,71
Walker,,30929,31704,32826,114,2.5,3.5,111
Walton,,37355,39022,40458,32,4.5,3.7,102
Washington,,32836,34386,35296,79,4.7,2.6,141
White,,32388,33680,34961,88,4,3.8,90
Wilcox,,24278,26014,26712,153,7.2,2.7,139
,,,,,,,,
Hawaii,,39005,40883,42449,4,4.8,3.8,3
,,,,,,,,
Adams,,37412,35945,37452,27,-3.9,4.2,22
Butte,,38615,37944,38961,19,-1.7,2.7,38
Clark,,37375,38537,39408,17,3.1,2.3,41
Custer,,42805,41476,43185,11,-3.1,4.1,23
Elmore,,36063,35609,36855,31,-1.3,3.5,31
Franklin,,33619,34974,36064,35,4,3.1,36
Idaho,,32229,32903,35122,38,2.1,6.7,2
Jefferson,,32678,33745,34900,39,3.3,3.4,33
Lincoln,,33155,33566,34821,40,1.2,3.7,27
Madison,,24057,24881,26407,44,3.4,6.1,5
Washington,,34150,34870,36225,34,2.1,3.9,26
,,,,,,,,
Adams,,42923,44055,46886,31,2.6,6.4,28
Boone,,43881,45005,47437,27,2.6,5.4,46
Calhoun,,37840,39897,42511,62,5.4,6.6,26
Carroll,,43011,43059,42399,64,0.1,-1.5,102
Clark,,38064,39877,43012,54,4.8,7.9,8
Clay,,35907,37175,40351,78,3.5,8.5,4
Cook,,56961,59046,62205,4,3.7,5.4,48
Crawford,,44130,44969,48332,23,1.9,7.5,13
DeKalb,,38140,39059,40929,77,2.4,4.8,66
Douglas,,45882,48003,51537,13,4.6,7.4,15
Effingham,,44849,47755,50599,17,6.5,6,38
Fayette,,32745,33549,35456,98,2.5,5.7,43
Franklin,,34943,35794,37355,91,2.4,4.4,78
Fulton,,35048,36054,38361,86,2.9,6.4,29
Greene,,34138,34425,36912,94,0.8,7.2,16
Hamilton,,40449,43346,43349,51,7.2,0,100
Hancock,,42681,43476,46081,33,1.9,6,35
Henry,,43076,44073,45072,37,2.3,2.3,96
Jackson,,34304,35488,37284,92,3.5,5.1,58
Jasper,,40414,42431,45961,35,5,8.3,5
Jefferson,,36488,37681,39581,81,3.3,5,59
Johnson,,33440,34457,35956,97,3,4.4,79
Lake,,72732,74130,78559,1,1.9,6,36
Lawrence,,28337,28640,29911,102,1.1,4.4,74
Lee,,38851,40081,41788,67,3.2,4.3,81
Logan,,35912,35922,38339,88,0,6.7,20
Macon,,45077,45425,48214,25,0.8,6.1,33
Madison,,43183,44555,46890,30,3.2,5.2,50
Marion,,38733,40229,43059,53,3.9,7,18
Marshall,,44145,43764,46015,34,-0.9,5.1,54
Monroe,,54629,55106,58686,6,0.9,6.5,27
Montgomery,,33943,34961,37717,89,3,7.9,7
Morgan,,37782,38417,41359,72,1.7,7.7,10
Perry,,34981,35993,38369,85,2.9,6.6,25
Pike,,40335,40413,42768,56,0.2,5.8,40
Pope,,28224,29341,30306,101,4,3.3,90
Pulaski,,34294,36471,36146,96,6.3,-0.9,101
Putnam,,55347,56849,58869,5,2.7,3.6,88
Randolph,,34208,34587,36905,95,1.1,6.7,23
St. Clair,,41712,42933,45061,38,2.9,5,61
Saline,,36744,38524,39687,80,4.8,3,93
Scott,,37644,38749,42720,59,2.9,10.2,1
Shelby,,35913,37692,41512,71,5,10.1,2
Union,,40169,40905,42760,57,1.8,4.5,71
Warren,,37652,38885,41274,74,3.3,6.1,32
Washington,,44105,47563,51144,15,7.8,7.5,11
Wayne,,38453,38184,41164,75,-0.7,7.8,9
White,,42873,46911,49605,18,9.4,5.7,41
,,,,,,,,
Adams,,35693,37119,39167,71,4,5.5,17
Benton,,39564,39639,42775,39,0.2,7.9,2
Boone,,69830,70598,73531,2,1.1,4.2,51
Brown,,43843,45194,46785,18,3.1,3.5,75
Carroll,,40732,41367,44201,28,1.6,6.9,5
Cass,,36277,37284,38788,75,2.8,4,57
Clark,,41239,42231,43763,35,2.4,3.6,71
Clay,,35736,37025,38615,76,3.6,4.3,46
Clinton,,35695,36455,39172,69,2.1,7.5,3
Crawford,,31504,32517,33483,91,3.2,3,84
Decatur,,39775,41066,42733,40,3.2,4.1,55
DeKalb,,40833,42213,44069,30,3.4,4.4,44
Delaware,,34621,35713,37201,86,3.2,4.2,50
Fayette,,37613,38925,40939,56,3.5,5.2,22
Floyd,,52765,53344,55480,5,1.1,4,59
,,,,,,,,
Fulton,,38255,40418,41437,53,5.7,2.5,87
Grant,,37500,38200,40444,60,1.9,5.9,12
Greene,,36262,37637,39840,64,3.8,5.9,13
Hamilton,,69299,71816,74717,1,3.6,4,56
Hancock,,47059,48483,50422,8,3,4,60
Henry,,35427,36561,38336,78,3.2,4.9,26
Howard,,39019,39916,41842,50,2.3,4.8,29
Jackson,,39989,40952,42722,42,2.4,4.3,45
Jasper,,41679,42313,43293,37,1.5,2.3,92
Jefferson,,39087,40448,41981,48,3.5,3.8,65
Johnson,,45220,46528,48332,11,2.9,3.9,63
Knox,,41916,43026,44626,26,2.6,3.7,69
Lake,,41596,43085,45172,25,3.6,4.8,28
Lawrence,,37408,38846,40614,59,3.8,4.6,38
Madison,,35930,36675,38172,79,2.1,4.1,53
Marion,,49530,50328,51940,7,1.6,3.2,81
Marshall,,38360,40060,41329,54,4.4,3.2,82
Martin,,35813,37659,39941,63,5.2,6.1,10
Monroe,,38193,40303,42212,45,5.5,4.7,33
Montgomery,,38805,38609,40056,62,-0.5,3.7,68
Morgan,,41107,42318,44183,29,2.9,4.4,43
Newton,,37072,37763,39818,65,1.9,5.4,18
Orange,,34191,36862,38124,80,7.8,3.4,79
Perry,,35795,36596,37851,82,2.2,3.4,78
Pike,,37590,39773,40714,57,5.8,2.4,89
Pulaski,,40768,42416,43522,36,4,2.6,86
Putnam,,35151,36162,37479,84,2.9,3.6,70
Randolph,,36715,36856,38491,77,0.4,4.4,42
Scott,,35490,36227,37475,85,2.1,3.4,77
Shelby,,40828,42331,43854,32,3.7,3.6,72
Union,,35727,36992,38998,72,3.5,5.4,19
Wabash,,40804,41382,43820,34,1.4,5.9,11
Warren,,41940,41888,45419,23,-0.1,8.4,1
Washington,,35161,36417,38123,81,3.6,4.7,35
Wayne,,38510,39623,41505,52,2.9,4.7,32
White,,40601,41273,43852,33,1.7,6.2,8
,,,,,,,,
Adams,,64580,60425,66319,1,-6.4,9.8,8
Benton,,48606,50585,53994,20,4.1,6.7,43
Boone,,45061,46263,49606,47,2.7,7.2,30
Butler,,45846,47707,49863,46,4.1,4.5,86
Calhoun,,46497,45730,51217,38,-1.6,12,4
Carroll,,49363,50694,54456,18,2.7,7.4,29
Cass,,43298,44804,48327,53,3.5,7.9,22
Cherokee,,59459,57693,62827,4,-3,8.9,14
Clarke,,37919,41325,43888,77,9,6.2,52
Clay,,45928,47733,51876,37,3.9,8.7,15
Clayton,,45320,47824,50371,42,5.5,5.3,70
Clinton,,41469,42167,44244,73,1.7,4.9,76
Crawford,,37953,39469,41765,90,4,5.8,61
Dallas,,61463,63620,66128,2,3.5,3.9,92
Decatur,,30956,33322,35908,99,7.6,7.8,25
Delaware,,45140,48195,51998,34,6.8,7.9,21
Fayette,,40064,42160,44263,72,5.2,5,74
,,,,,,,,
Franklin,,46749,49186,51971,36,5.2,5.7,65
Fremont,,41697,43940,45399,66,5.4,3.3,95
Greene,,45397,45392,48356,52,0,6.5,49
Grundy,,47877,50936,53270,23,6.4,4.6,84
Hamilton,,46802,46943,53071,25,0.3,13.1,1
Hancock,,47101,51847,54791,17,10.1,5.7,63
Hardin,,46204,49143,52677,32,6.4,7.2,31
Harrison,,44497,43972,44895,68,-1.2,2.1,98
Henry,,39595,40373,43223,83,2,7.1,35
Howard,,44220,44126,48232,55,-0.2,9.3,11
Humboldt,,48221,47403,50201,43,-1.7,5.9,60
Iowa,,49204,51702,55204,16,5.1,6.8,40
Jackson,,41817,42303,45167,67,1.2,6.8,41
Jasper,,40187,40877,43551,81,1.7,6.5,48
Jefferson,,38367,38299,42320,85,-0.2,10.5,7
Johnson,,49104,50536,52672,33,2.9,4.2,89
Jones,,41069,41572,43652,79,1.2,5,73
Lee,,39613,39430,42174,87,-0.5,7,36
Madison,,45914,47104,49505,48,2.6,5.1,72
Marion,,43965,45902,48956,51,4.4,6.7,46
Marshall,,41374,40771,43652,79,-1.5,7.1,34
Mitchell,,58166,56986,63318,3,-2,11.1,5
Monroe,,39744,40394,43833,78,1.6,8.5,17
Montgomery,,38944,40010,42280,86,2.7,5.7,64
Osceola,,51336,52840,57164,11,2.9,8.2,20
Polk,,50180,51006,53215,24,1.6,4.3,88
Scott,,50263,51985,54323,19,3.4,4.5,87
Shelby,,48626,49328,50834,39,1.4,3.1,96
Taylor,,35670,39947,41585,92,12,4.1,90
Union,,37761,37956,40494,95,0.5,6.7,44
Van Buren,,37094,37839,41378,93,2,9.4,10
Warren,,47573,48764,50698,40,2.5,4,91
Washington,,49045,52712,57438,10,7.5,9,13
Wayne,,38963,40490,43981,75,3.9,8.6,16
Webster,,43868,42623,45496,65,-2.8,6.7,42
Winnebago,,40830,42464,44528,70,4,4.9,78
Worth,,42482,39928,42321,84,-6,6,58
,,,,,,,,
Allen,,36623,38176,40218,86,4.2,5.3,62
Brown,,41224,41260,43023,63,0.1,4.3,80
Butler,,43276,43949,46157,44,1.6,5,70
Cherokee,,35505,37642,39645,89,6,5.3,63
Cheyenne,,42009,41532,47268,37,-1.1,13.8,10
Clark,,57487,58054,62654,9,1,7.9,25
Clay,,39991,40952,42069,76,2.4,2.7,94
Crawford,,34328,35923,37921,99,4.6,5.6,57
Decatur,,47828,43747,46614,40,-8.5,6.6,44
Dickinson,,38402,39504,40582,85,2.9,2.7,93
Douglas,,40244,41899,43642,59,4.1,4.2,83
Edwards,,52141,46538,52165,22,-10.7,12.1,13
Ford,,35955,37024,38962,93,3,5.2,65
Franklin,,39623,40397,42383,72,2,4.9,71
Graham,,41262,43260,49624,29,4.8,14.7,7
Grant,,50032,45644,46591,41,-8.8,2.1,98
Hamilton,,56623,55201,63834,8,-2.5,15.6,5
Jackson,,38506,39634,41686,78,2.9,5.2,66
Jefferson,,40659,41883,44480,53,3,6.2,47
Johnson,,68984,70899,74010,2,2.8,4.4,77
Kiowa,,38053,41488,44262,57,9,6.7,40
Lincoln,,37277,38570,41574,79,3.5,7.8,28
Linn,,33817,34789,37267,103,2.9,7.1,36
Logan,,44460,44743,47852,35,0.6,6.9,39
Lyon,,35528,36412,38297,97,2.5,5.2,67
Marion,,40120,39347,41410,80,-1.9,5.2,64
Marshall,,44363,44167,45766,47,-0.4,3.6,88
Miami,,44949,46750,48748,32,4,4.3,79
Mitchell,,51286,53613,54694,16,4.5,2,100
Montgomery,,33831,35010,37576,100,3.5,7.3,35
Phillips,,49287,46978,51320,23,-4.7,9.2,19
Rush,,39960,40603,44302,55,1.6,9.1,20
Russell,,40893,41745,44443,54,2.1,6.5,46
Saline,,46084,47831,49983,28,3.8,4.5,75
Scott,,68765,67868,69254,4,-1.3,2,99
Sedgwick,,47945,50503,53776,19,5.3,6.5,45
Thomas,,39208,40907,45671,48,4.3,11.6,14
Washington,,43874,43064,45181,50,-1.8,4.9,72
,,,,,,,,
Adair,,28883,30140,31288,98,4.4,3.8,29
Allen,,30508,31901,32643,87,4.6,2.3,86
Anderson,,37852,38451,39321,30,1.6,2.3,87
Boone,,44105,45860,48004,8,4,4.7,12
Bourbon,,41516,43104,44388,11,3.8,3,64
Butler,,32125,33602,34420,70,4.6,2.4,84
Carroll,,38456,34421,36349,55,-10.5,5.6,6
Christian,,35997,37237,37742,43,3.4,1.4,110
Clark,,37726,39105,39848,28,3.7,1.9,102
Clay,,28452,29799,30566,107,4.7,2.6,79
Clinton,,29468,30274,31308,97,2.7,3.4,45
Crittenden,,32305,33812,35325,63,4.7,4.5,16
,,,,,,,,
Daviess,,39342,40420,41754,20,2.7,3.3,50
Fayette,,46493,48427,50180,5,4.2,3.6,34
Floyd,,33483,35738,36976,46,6.7,3.5,40
Franklin,,41120,40716,41760,19,-1,2.6,80
Fulton,,31623,32588,33715,79,3.1,3.5,41
Gallatin,,29388,31085,32065,90,5.8,3.2,57
Grant,,33283,34781,36093,57,4.5,3.8,30
Hancock,,34369,35550,36929,47,3.4,3.9,28
Hardin,,40992,42161,43424,16,2.9,3,63
Harrison,,33197,34181,34889,66,3,2.1,97
Hart,,30418,31296,32133,89,2.9,2.7,74
Henderson,,36721,38332,39891,27,4.4,4.1,27
Henry,,35858,36736,37981,38,2.4,3.4,47
Jackson,,27282,27836,28352,117,2,1.9,104
Jefferson,,47841,49871,51937,3,4.2,4.1,25
Johnson,,31273,32007,32986,84,2.3,3.1,62
Knox,,28227,28678,29431,115,1.6,2.6,76
Lawrence,,29613,30289,31654,91,2.3,4.5,15
Lee,,30902,31147,30157,111,0.8,-3.2,120
Lewis,,28707,30030,31156,101,4.6,3.7,31
Lincoln,,29751,30755,31399,96,3.4,2.1,96
Livingston,,36376,36823,37792,41,1.2,2.6,75
Logan,,33477,35007,36005,59,4.6,2.9,67
Lyon,,33519,34694,36652,49,3.5,5.6,5
McLean,,36542,39870,41603,22,9.1,4.3,18
Madison,,34014,34654,35397,62,1.9,2.1,95
Marion,,33489,34997,36083,58,4.5,3.1,59
Marshall,,38714,39505,41625,21,2,5.4,8
Martin,,26121,28906,29840,113,10.7,3.2,55
Mason,,37603,38861,40541,25,3.3,4.3,19
Meade,,37611,38901,40026,26,3.4,2.9,66
Mercer,,35688,36552,37146,44,2.4,1.6,109
Monroe,,34493,35747,36385,54,3.6,1.8,106
Montgomery,,33371,34003,34751,67,1.9,2.2,94
Morgan,,25706,26379,26831,118,2.6,1.7,108
Ohio,,30697,31780,33262,83,3.5,4.7,13
Owen,,32437,32927,33940,74,1.5,3.1,60
Perry,,35195,36986,38523,33,5.1,4.2,24
Pike,,33043,35192,36319,56,6.5,3.2,56
Pulaski,,34498,35537,37024,45,3,4.2,22
Russell,,31493,33229,34343,72,5.5,3.4,48
Scott,,41498,42538,43409,17,2.5,2,98
Shelby,,41753,43963,45392,9,5.3,3.3,53
Spencer,,41489,42459,43960,12,2.3,3.5,37
Taylor,,32944,34221,35020,65,3.9,2.3,85
Union,,30877,31927,33736,78,3.4,5.7,4
Warren,,36302,37140,38045,37,2.3,2.4,83
Washington,,34533,36996,37824,40,7.1,2.2,91
Wayne,,26620,27485,28484,116,3.2,3.6,33
Webster,,37088,39000,39188,32,5.2,0.5,118
Whitley,,31586,32449,33447,82,2.7,3.1,61
Woodford,,47920,49988,51753,4,4.3,3.5,38
,,,,,,,,
Allen,,30513,31754,33381,58,4.1,5.1,25
Caldwell,,31621,32616,33950,54,3.1,4.1,45
Franklin,,30010,31196,31928,63,4,2.3,60
Grant,,30778,30862,31828,64,0.3,3.1,59
Jackson,,31762,32933,34116,53,3.7,3.6,56
Jefferson,,47629,48520,51005,4,1.9,5.1,26
Lafayette,,45411,47467,50273,6,4.5,5.9,10
LaSalle,,29531,30283,32413,61,2.5,7,3
Lincoln,,37007,38492,40410,32,4,5,29
Livingston,,37428,39068,40658,29,4.4,4.1,46
Madison,,31480,31210,32437,60,-0.9,3.9,51
Ouachita,,38535,39135,41053,27,1.6,4.9,31
Richland,,35630,35988,37330,45,1,3.7,54
Union,,35754,37117,38794,39,3.8,4.5,38
Vermilion,,36304,36943,39042,37,1.8,5.7,16
Washington,,31647,32210,33480,57,1.8,3.9,50
Webster,,36733,38000,40175,33,3.4,5.7,15
,,,,,,,,
Cumberland,,56418,59331,62523,1,5.2,5.4,2
Franklin,,35933,36874,38544,13,2.6,4.5,13
Hancock,,47610,48782,51259,5,2.5,5.1,7
Knox,,47092,49443,52358,2,5,5.9,1
Lincoln,,47364,48449,50922,6,2.3,5.1,6
Washington,,38170,38836,40378,12,1.7,4,15
,,,,,,,,
,,,,,,,,
Howard,,73266,75026,78416,2,2.4,4.5,8
Kent,,55909,58154,61497,10,4,5.7,1
Montgomery,,83956,85345,89690,1,1.7,5.1,4
Somerset,,29867,31147,31562,24,4.3,1.3,24
Talbot,,68648,69455,73232,3,1.2,5.4,2
Washington,,44355,45087,47092,18,1.7,4.4,10
,,,,,,,,
Franklin,,50916,52477,54689,11,3.1,4.2,12
Middlesex,,76452,79583,83795,4,4.1,5.3,5
Plymouth,,61925,64316,67505,8,3.9,5,7
Worcester,,52897,54439,57003,9,2.9,4.7,9
,,,,,,,,
Bay,,39443,40192,41722,31,1.9,3.8,78
Berrien,,44018,45651,47430,15,3.7,3.9,74
Calhoun,,37994,38608,40276,39,1.6,4.3,64
Cass,,41290,43298,44994,21,4.9,3.9,73
Clinton,,43446,44687,46518,18,2.9,4.1,69
Crawford,,31870,32483,34648,74,1.9,6.7,3
Delta,,37535,38423,40551,38,2.4,5.5,19
Dickinson,,44252,46503,49397,11,5.1,6.2,6
Emmet,,52689,54537,57115,6,3.5,4.7,46
Jackson,,37336,38031,39832,45,1.9,4.7,45
Kent,,50702,51268,53935,7,1.1,5.2,32
Lake,,29468,30077,31813,83,2.1,5.8,14
Livingston,,53924,55861,58326,5,3.6,4.4,58
Mason,,38116,39357,41667,32,3.3,5.9,11
Monroe,,43757,45498,47496,14,4,4.4,60
Osceola,,33753,34148,36023,68,1.2,5.5,22
Ottawa,,45095,47043,49418,10,4.3,5,36
St. Clair,,40937,42381,44316,25,3.5,4.6,55
St. Joseph,,35323,37161,38866,50,5.2,4.6,54
Van Buren,,38642,39606,41123,33,2.5,3.8,77
Wayne,,40549,41115,42942,29,1.4,4.4,57
,,,,,,,,
Benton,,41238,42321,43830,71,2.6,3.6,69
Brown,,48668,50290,52995,23,3.3,5.4,30
Cass,,44024,45372,47443,54,3.1,4.6,48
,,,,,,,,
Clay,,40797,41400,43180,75,1.5,4.3,52
Clearwater,,40013,41620,44001,69,4,5.7,25
Cook,,50705,52629,55319,16,3.8,5.1,35
Dodge,,42113,43890,47984,51,4.2,9.3,8
Douglas,,52520,51082,53665,20,-2.7,5.1,36
Grant,,49479,49241,52556,24,-0.5,6.7,19
Houston,,48011,49849,52354,25,3.8,5,37
Jackson,,47903,51130,53276,22,6.7,4.2,56
Lake,,43920,46072,48132,50,4.9,4.5,51
Lincoln,,44381,45043,48520,47,1.5,7.7,11
Lyon,,45921,47254,49455,41,2.9,4.7,45
Marshall,,48402,50165,51509,29,3.6,2.7,78
Martin,,47540,50035,50083,35,5.2,0.1,86
Murray,,53014,52140,54825,18,-1.6,5.1,34
Polk,,44296,46227,48820,43,4.4,5.6,27
Pope,,45993,47984,52091,26,4.3,8.6,10
Rice,,40329,42091,44096,67,4.4,4.8,43
Scott,,55284,57312,59687,6,3.7,4.1,57
Stevens,,46704,47326,49913,37,1.3,5.5,28
Todd,,37434,40943,42005,80,9.4,2.6,79
Washington,,62427,65013,67928,3,4.1,4.5,50
Wright,,46593,48381,50181,34,3.8,3.7,66
,,,,,,,,
Mississippi,,35613,36375,37834,--,2.1,4,--
